section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Others,,,22375116.0,0.08466722111962421
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Realme,,,15590747.0,0.05899523487025131
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Samsung,,,52578970.0,0.19895831061756677
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Vivo,,,48210115.0,0.18242660582888207
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Xiaomi,,,66711711.0,0.2524364649776773
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,,264271293.0,7461623162.0,,
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Apple,,,7576154.0,0.026584355558106953
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Huawei,,,5145488.0,0.018055266895574275
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Lenovo,,,3907304.0,0.0137105395177571
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Motorola,,,5792974.0,0.020327263748185304
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,OnePlus,,,4895538.0,0.017178204513823743
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Oppo,,,35512326.0,0.12461102309686499
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Others,,,23564639.0,0.08268717105993804
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Realme,,,17541519.0,0.06155233620188934
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Samsung,,,56154585.0,0.19704370500625243
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Vivo,,,53341749.0,0.18717360041880035
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,Xiaomi,,,71553154.0,0.2510765339828075
aggregated,user,country,india,,2021,1,2021-Q1,data/aggregated/user/country/india/2021/1.json,,,,,284985430.0,8635508502.0,,
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Apple,,,8143414.0,0.02667714427063531
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Huawei,,,5068955.0,0.016605473310869152
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Lenovo,,,3768280.0,0.01234457062015386
