metric,category,count,amount,section,dtype,map_kind,geo_level,geo_name,year,quarter,registeredUsers,appOpens,brand,brand_count,brand_pct,name,level,period,geo,section_type
transactions,Peer-to-peer payments,1159377.0,4872318731.339843,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Recharge & bill payments,409997.0,320731281.94750684,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Financial Services,3346.0,4400109.748752326,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Others,17970.0,10005102.462219946,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Peer-to-peer payments,8109789.0,28723854868.846924,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,6400067.0,1688995018.2209015,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Merchant payments,4923214.0,2393811867.3887434,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Financial Services,12424.0,7378557.223060286,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Others,78497.0,46557359.6766012,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,8366200.0,2504355746.828547,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Peer-to-peer payments,7216219.0,27351810047.608715,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Merchant payments,3158417.0,2361252112.419633,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Financial Services,19986.0,17814454.60563486,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Others,60103.0,33149845.438824516,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Peer-to-peer payments,9734445.0,34661165923.13037,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Recharge & bill payments,8705513.0,2790720003.1373434,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Merchant payments,5591916.0,3990179454.1880045,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Financial Services,34893.0,39141096.45070238,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Others,81772.0,45538330.62766186,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Peer-to-peer payments,14257312.0,50812302052.952705,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Merchant payments,11677743.0,8238390462.202984,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Recharge & bill payments,9423324.0,3033918783.208999,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Financial Services,41308.0,48082346.06124696,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
